COMPANY_CD_FSK,CUSTOMER_CD_FSK,PRODUCT_CD_FSK,INVOICE_YEAR_MONTH,QUANTITY_PIECES,GROSS_SALES
127,2433,499042,2021-06-01 00:00:00,200,8961.6
213,32348670,154551095,2021-06-01 00:00:00,144,8946.72
213,32348670,154551095,2021-09-01 00:00:00,144,8946.72
127,3273,493395,2021-05-01 00:00:00,14400,8928
127,1872,502784,2021-11-01 00:00:00,4200,8910.72
127,871,495641,2021-02-01 00:00:00,9000,8910
127,871,495641,2021-08-01 00:00:00,9000,8910
127,3584,503603,2021-01-01 00:00:00,136,8889.42
213,32351569,154570264,2021-06-01 00:00:00,3150,8851.5
72,19392432,90960334,2021-08-01 00:00:00,364,8814.44
127,3584,503481,2021-12-01 00:00:00,16,8704.4
127,3584,510069,2021-05-01 00:00:00,56,8699.38
72,19392461,90968211,2021-04-01 00:00:00,8,8682.18
127,3584,492901,2021-03-01 00:00:00,20,8647.1
127,4176,505145,2021-11-01 00:00:00,20,8646.66
127,871,504561,2021-08-01 00:00:00,42,8640
127,3584,511404,2021-02-01 00:00:00,314,8628.58
72,19394766,90969614,2021-08-01 00:00:00,8,8616.79
72,19394766,90968211,2021-10-01 00:00:00,8,8521.93
127,4462,512136,2021-10-01 00:00:00,768,8516.98
72,19392432,90942059,2021-01-01 00:00:00,192,8505.67
213,32351569,154570264,2021-01-01 00:00:00,3150,8505
127,14425627,504109,2021-08-01 00:00:00,12,8495.04
127,871,493395,2021-04-01 00:00:00,19200,8448
213,32351569,154556497,2021-01-01 00:00:00,12600,8442
72,19392432,90972350,2021-08-01 00:00:00,32,8392.91
127,1872,502784,2021-02-01 00:00:00,4200,8379
127,1872,502784,2021-05-01 00:00:00,4200,8379
127,4216,505145,2021-07-01 00:00:00,20,8351.92
72,19394766,90977836,2021-08-01 00:00:00,6,8337.13
127,4462,512042,2021-05-01 00:00:00,12,8323.02
127,4993,492262,2021-10-01 00:00:00,4,8290.12
127,3273,496035,2021-05-01 00:00:00,21780,8276.4
72,19392432,90958543,2021-08-01 00:00:00,804,8240.96
213,32345328,154558229,2021-05-01 00:00:00,152,8220.16
127,4462,503677,2021-04-01 00:00:00,202,8218.02
127,3584,503641,2021-09-01 00:00:00,12,8200.58
72,19392432,90952660,2021-01-01 00:00:00,4,8187.139999999999
127,4993,511528,2021-08-01 00:00:00,4,8179.3
127,4462,510150,2021-06-01 00:00:00,46,8162.14
72,19392432,90973925,2021-05-01 00:00:00,202,8101
127,1530,503964,2021-04-01 00:00:00,50,8097.76
127,1285,505278,2021-06-01 00:00:00,26,8082.62
127,4462,505145,2021-03-01 00:00:00,22,8072.24
127,4462,489326,2021-10-01 00:00:00,64,8052.06
127,1285,512042,2021-11-01 00:00:00,10,8050
127,871,490074,2021-10-01 00:00:00,256,8043.52
127,20751556,508049,2021-10-01 00:00:00,24,8040.96
127,3584,508990,2021-04-01 00:00:00,96,7983.36
127,3584,497952,2021-11-01 00:00:00,84,7966.18
127,4176,512136,2021-03-01 00:00:00,678,7962.84
241,5664978,22610695,2021-09-01 00:00:00,2000,7950
127,3584,508124,2021-05-01 00:00:00,4,7920
127,3584,508124,2021-06-01 00:00:00,4,7920
127,5284,503690,2021-10-01 00:00:00,12,7891.04
127,5284,511092,2021-10-01 00:00:00,12,7891.04
72,19392432,90956015,2021-11-01 00:00:00,64,7890.370000000001
127,4462,488818,2021-04-01 00:00:00,18,7848.42
72,19392432,90942059,2021-08-01 00:00:00,176,7847.360000000001
127,4218,496288,2021-06-01 00:00:00,220,7812.42
127,847,506920,2021-02-01 00:00:00,48,7796.16
72,19394766,90952458,2021-10-01 00:00:00,6,7744
127,4176,505145,2021-01-01 00:00:00,20,7724.64
72,19392432,90965637,2021-11-01 00:00:00,160,7708.99
