"CUSTOMER_FSK","PRODUCT_FSK","INVOICE_YEARMONTH","GROSS_SALES","UNITS"
8114623683,80720704,"2021/06/01 00:00:00",-647.04,32
7992248057,57949531,"2021/03/01 00:00:00",-646.74,10
7818464370,57950705,"2021/10/01 00:00:00",-630.82,44
8134367856,57962389,"2021/06/01 00:00:00",-626.4,240
6828044149,80721023,"2021/06/01 00:00:00",-618.8,70
6612717298,57938993,"2021/10/01 00:00:00",-609.04,36
7083326815,80720940,"2021/06/01 00:00:00",-607.88,28
7565291929,57948680,"2021/10/01 00:00:00",-598.36,4
2720433718,57941558,"2021/04/01 00:00:00",-597.46,28
8064816243,80721039,"2021/06/01 00:00:00",-595.2,30
8164396757,80720880,"2021/06/01 00:00:00",-588,1200
5007630180,80720912,"2021/06/01 00:00:00",-587.4,30
8153251680,80720955,"2021/06/01 00:00:00",-582.6,60
7977184722,80721289,"2021/06/01 00:00:00",-579.6,140
2223662827,80721204,"2021/06/01 00:00:00",-568.2,60
5416984263,80721061,"2021/06/01 00:00:00",-553.8,60
8120765669,57952889,"2021/09/01 00:00:00",-550.26,80
6394686818,80720863,"2021/05/01 00:00:00",-543.12,24
7886607422,57960869,"2021/02/01 00:00:00",-536.86,2
7908274462,80721029,"2021/06/01 00:00:00",-526.4,28
8093731203,57953274,"2021/03/01 00:00:00",-524.36,8000
8077717257,57949423,"2021/08/01 00:00:00",-520.32,4
7520008838,80720718,"2021/06/01 00:00:00",-514.5,350
7122378052,57944248,"2021/06/01 00:00:00",-501.36,2
7820831747,57956700,"2021/12/01 00:00:00",-496.72,56
8023459806,80720808,"2021/06/01 00:00:00",-496,400
3805912577,80720934,"2021/06/01 00:00:00",-496,400
8005179789,57952524,"2021/07/01 00:00:00",-490.64,2
7651763228,80720998,"2021/06/01 00:00:00",-489,60
7924576526,80721153,"2021/06/01 00:00:00",-487.2,280
3537594008,80721183,"2021/06/01 00:00:00",-485.4,60
6953047840,80720699,"2021/06/01 00:00:00",-483,350
8249240831,80720784,"2021/06/01 00:00:00",-475,250
7214756882,80721051,"2021/06/01 00:00:00",-475,500
8240452187,57960223,"2021/03/01 00:00:00",-462.23,60
8243917041,80721159,"2021/06/01 00:00:00",-461.6,80
7248183096,80720825,"2021/06/01 00:00:00",-457.6,40
8180109749,57949061,"2021/01/01 00:00:00",-454.44,60
8026393316,80720767,"2021/06/01 00:00:00",-451.2,40
7987977628,80721231,"2021/06/01 00:00:00",-442,100
8030722070,80721105,"2021/06/01 00:00:00",-440,1000
8060894243,80720921,"2021/06/01 00:00:00",-439.6,40
6766973693,57953544,"2021/10/01 00:00:00",-438.64,44
8233325460,57958708,"2021/04/01 00:00:00",-437.84,18
8003678605,80721180,"2021/06/01 00:00:00",-436.8,120
8167797992,80720746,"2021/06/01 00:00:00",-430,500
8013437151,80721048,"2021/06/01 00:00:00",-424.8,60
8222908769,80721158,"2021/06/01 00:00:00",-420,500
6692114207,80720965,"2021/06/01 00:00:00",-417,150
7730537396,57948443,"2021/05/01 00:00:00",-415.76,6
8178946245,57953982,"2021/03/01 00:00:00",-410.12,4
7838165920,80720900,"2021/06/01 00:00:00",-409.36,28
8195933621,80720981,"2021/10/01 00:00:00",-409.12,2
6180759569,57951789,"2021/05/01 00:00:00",-408.36,6
8220835149,57954156,"2021/09/01 00:00:00",-408.32,12
8040555801,57955208,"2021/12/01 00:00:00",-405.6,2
8039094513,57946560,"2021/06/01 00:00:00",-401.22,2
7970593974,80721141,"2021/06/01 00:00:00",-397.8,60
8032358968,80720927,"2021/06/01 00:00:00",-376.5,150
8208778840,80720803,"2021/06/01 00:00:00",-375.6,60
7602689259,80721208,"2021/06/01 00:00:00",-372,200
7700102396,57957129,"2021/05/01 00:00:00",-368.46,4
8222036829,57938169,"2021/03/01 00:00:00",-364.86,2
7932781971,80721006,"2021/06/01 00:00:00",-360,60
8258021253,57943847,"2021/06/01 00:00:00",-357.76,36
6183469882,80720984,"2021/06/01 00:00:00",-350,500
6305885079,57959328,"2021/10/01 00:00:00",-346,60
8039945851,80720891,"2021/06/01 00:00:00",-345,300
8098046971,57958634,"2021/05/01 00:00:00",-344.46,8
6659035750,57938823,"2021/03/01 00:00:00",-342.28,4120
8100814804,80720796,"2021/06/01 00:00:00",-342,60
8094992979,80720964,"2021/06/01 00:00:00",-340.2,60
8112248596,80721126,"2021/06/01 00:00:00",-338,200
7699593399,80720976,"2021/06/01 00:00:00",-331.2,120
6180790109,80720890,"2021/06/01 00:00:00",-330,1000
8245495218,80721069,"2021/06/01 00:00:00",-325.2,60
6656333692,57954374,"2021/05/01 00:00:00",-323.96,28
8244621244,57961464,"2021/05/01 00:00:00",-323.2,16
7964538128,80721045,"2021/06/01 00:00:00",-322.2,60
3279352420,80721108,"2021/06/01 00:00:00",-322,700
8069656470,57963009,"2021/10/01 00:00:00",-320.78,6
8045174868,57948157,"2021/06/01 00:00:00",-320,2
8138401161,80720706,"2021/06/01 00:00:00",-320,1000
8233237254,57942709,"2021/09/01 00:00:00",-313.6,2
7988092789,57962454,"2021/03/01 00:00:00",-313.38,60
7358278014,80721203,"2021/06/01 00:00:00",-311.5,350
7984629481,80721198,"2021/06/01 00:00:00",-310.4,40
8016828933,80721170,"2021/10/01 00:00:00",-307.46,2
8142890242,80721230,"2021/06/01 00:00:00",-306.6,60
6846332197,57951350,"2021/04/01 00:00:00",-306.12,16
8240445535,57938563,"2021/10/01 00:00:00",-299.26,70
3781256156,57942579,"2021/10/01 00:00:00",-298.98,2
8182251242,80720985,"2021/06/01 00:00:00",-298.8,20
7816486581,80720913,"2021/06/01 00:00:00",-297.6,120
6677130695,103734181,"2021/09/01 00:00:00",-289.46,4
7977239270,80721239,"2021/06/01 00:00:00",-284.4,60
8118454581,80720979,"2021/06/01 00:00:00",-282,600
8010607841,57951123,"2021/07/01 00:00:00",-279.18,66
7941825014,80720742,"2021/06/01 00:00:00",-278.4,160
8083371387,57942709,"2021/03/01 00:00:00",-277.92,2
8101133469,57960733,"2021/04/01 00:00:00",-275.52,12
7950388689,57963163,"2021/05/01 00:00:00",-273.16,60
8210959610,57962696,"2021/12/01 00:00:00",-272.2,6
8200559555,80721188,"2021/06/01 00:00:00",-272,400
8006234036,80720846,"2021/06/01 00:00:00",-270.6,20
7391590880,80720749,"2021/06/01 00:00:00",-270,300
8207281287,80720823,"2021/06/01 00:00:00",-270,60
8144489737,80721031,"2021/06/01 00:00:00",-270,600
7206228821,80721297,"2021/06/01 00:00:00",-270,300
4473051364,80721210,"2021/06/01 00:00:00",-266.4,60
7988091752,80720922,"2021/06/01 00:00:00",-260.4,40
7069597971,80720782,"2021/06/01 00:00:00",-260,400
8261674165,57963163,"2021/04/01 00:00:00",-259.32,16
8038873476,80720910,"2021/06/01 00:00:00",-256.8,60
7920986823,57961689,"2021/05/01 00:00:00",-256.4,2
8204230333,57949309,"2021/05/01 00:00:00",-254.41,18
4969565052,57950856,"2021/11/01 00:00:00",-252.99,10
6237449062,57951559,"2021/06/01 00:00:00",-252.92,8
7996641295,80720759,"2021/06/01 00:00:00",-252,120
8109209193,80720943,"2021/06/01 00:00:00",-250.8,60
7303459752,80721232,"2021/06/01 00:00:00",-250.2,90
7935089598,80721121,"2021/06/01 00:00:00",-250,200
8006937133,57940281,"2021/09/01 00:00:00",-248.76,20
7587559602,57963163,"2021/11/01 00:00:00",-236.62,14
6699308814,57942168,"2021/12/01 00:00:00",-228.78,2
7906872371,80721081,"2021/06/01 00:00:00",-228,300
7964388705,57958697,"2021/03/01 00:00:00",-225.42,8000
8089063399,57948181,"2021/11/01 00:00:00",-224.64,6
8236540360,80721216,"2021/06/01 00:00:00",-223.8,60
7990085714,80721040,"2021/06/01 00:00:00",-223.2,60
8109280825,57950335,"2021/05/01 00:00:00",-222.56,4
8221860409,57955572,"2021/04/01 00:00:00",-220.66,2
6180885461,80721101,"2021/06/01 00:00:00",-219.6,60
8233514181,57942234,"2021/03/01 00:00:00",-219.42,2
7985051723,80720949,"2021/06/01 00:00:00",-217,100
6168951512,80721113,"2021/06/01 00:00:00",-216,900
8037784183,57941554,"2021/06/01 00:00:00",-214.52,4
8084187251,80720986,"2021/06/01 00:00:00",-213,300
7979258395,80720894,"2021/06/01 00:00:00",-212.4,60
7168246757,80721298,"2021/06/01 00:00:00",-212,200
7809757535,57951303,"2021/03/01 00:00:00",-210.26,16
8154364034,57941983,"2021/06/01 00:00:00",-208.8,20
7068155236,57943677,"2021/06/01 00:00:00",-208.26,44
8102473022,57943045,"2021/02/01 00:00:00",-200,2
7200540336,57954776,"2021/09/01 00:00:00",-198.6,20
7980717790,57940496,"2021/12/01 00:00:00",-197.62,16
8037853243,57942709,"2021/05/01 00:00:00",-197.14,2
8207221744,80721175,"2021/10/01 00:00:00",-196.54,2
6980117669,57951559,"2021/10/01 00:00:00",-193.26,6
7943031436,80721071,"2021/06/01 00:00:00",-192,100
8205896343,57943045,"2021/05/01 00:00:00",-191.64,6
8259182217,57951303,"2021/11/01 00:00:00",-186.36,8
8248927054,57953901,"2021/12/01 00:00:00",-184.44,600
5105746770,57955851,"2021/03/01 00:00:00",-182.64,160
6700036238,80720945,"2021/06/01 00:00:00",-180,200
7602689259,80721096,"2021/06/01 00:00:00",-180,200
8207624135,80721103,"2021/06/01 00:00:00",-178,200
7394500055,80721200,"2021/06/01 00:00:00",-177.6,120
7809757535,80721100,"2021/06/01 00:00:00",-175.8,60
8003711956,57943325,"2021/01/01 00:00:00",-174.2,4
8148730687,57963163,"2021/06/01 00:00:00",-173.46,8
8112125578,80720918,"2021/06/01 00:00:00",-172.8,40
6671316275,80720761,"2021/07/01 00:00:00",-172.8,320
8189544374,57951119,"2021/06/01 00:00:00",-171.78,120
8016662380,57952879,"2021/10/01 00:00:00",-170.8,14
8048805882,57955548,"2021/03/01 00:00:00",-168.3,2
6871159836,57946089,"2021/03/01 00:00:00",-167.96,960
8208525445,57958272,"2021/04/01 00:00:00",-167.58,8
8037573385,57942709,"2021/07/01 00:00:00",-165.68,2
8259660235,80720719,"2021/06/01 00:00:00",-164.4,60
6546295908,57942709,"2021/04/01 00:00:00",-162.82,2
7981281464,80720714,"2021/06/01 00:00:00",-162,300
8193050650,80721062,"2021/06/01 00:00:00",-161.4,60
8160419214,80721256,"2021/06/01 00:00:00",-161.4,30
6904287003,80720847,"2021/06/01 00:00:00",-160,200
8189943901,80721037,"2021/06/01 00:00:00",-160,200
8014604252,80721281,"2021/06/01 00:00:00",-160,200
7862587722,80721252,"2021/06/01 00:00:00",-158,100
8085089470,80721282,"2021/06/01 00:00:00",-156.6,60
8038955598,57956844,"2021/10/01 00:00:00",-151.62,18
7168246757,57962223,"2021/04/01 00:00:00",-151.34,8
8223539293,57937440,"2021/07/01 00:00:00",-150,4
8185221846,80720762,"2021/06/01 00:00:00",-150,120
6550147701,57954776,"2021/07/01 00:00:00",-149.6,40
6954851006,57944383,"2021/03/01 00:00:00",-148.8,480
8196604998,57948545,"2021/05/01 00:00:00",-148.58,20
7143835198,80720902,"2021/06/01 00:00:00",-148.5,150
7522276255,80720760,"2021/06/01 00:00:00",-148,200
3557364341,80721110,"2021/06/01 00:00:00",-147,300
6356116924,80721193,"2021/06/01 00:00:00",-145.6,80
8240714461,57946092,"2021/11/01 00:00:00",-145.52,4
7233153381,57960589,"2021/06/01 00:00:00",-144.2,100
6567724334,57942234,"2021/12/01 00:00:00",-144,8
6364013344,57959016,"2021/01/01 00:00:00",-142.06,4
8222999273,80721083,"2021/06/01 00:00:00",-141.6,120
8085383994,80721189,"2021/06/01 00:00:00",-140,200
8230120866,80721245,"2021/06/01 00:00:00",-140,100
7303459752,80720804,"2021/06/01 00:00:00",-139.2,80
6843086678,57955785,"2021/03/01 00:00:00",-138.5,22
8038142843,80721093,"2021/06/01 00:00:00",-136.5,150
8078426408,80720763,"2021/06/01 00:00:00",-135,500
7498276733,57948710,"2021/03/01 00:00:00",-134.37,240
8154781099,57942709,"2021/11/01 00:00:00",-133.76,2
8035066178,80720988,"2021/06/01 00:00:00",-126.5,50
8239949199,80720946,"2021/06/01 00:00:00",-126,100
6526071297,80721115,"2021/06/01 00:00:00",-126,120
8042479667,80721070,"2021/06/01 00:00:00",-125,500
8040618631,80721089,"2021/06/01 00:00:00",-125,100
8041787500,80721066,"2021/06/01 00:00:00",-123,300
8031907756,57953544,"2021/09/01 00:00:00",-121.92,12
7566550183,80720950,"2021/06/01 00:00:00",-120,100
8114623683,80721179,"2021/06/01 00:00:00",-119.7,30
7338994480,80721138,"2021/06/01 00:00:00",-118,100
8255085035,80721075,"2021/06/01 00:00:00",-116.96,4
8024182560,57944565,"2021/12/01 00:00:00",-116.92,320
8143857893,80721279,"2021/06/01 00:00:00",-116,40
7273517565,57946760,"2021/04/01 00:00:00",-112.8,2
8088285872,57961613,"2021/06/01 00:00:00",-112.76,72
7207903245,80720722,"2021/06/01 00:00:00",-112.4,20
8101133469,57945781,"2021/06/01 00:00:00",-110.72,4
6180454921,57962708,"2021/05/01 00:00:00",-108.8,40
8196182855,80721057,"2021/06/01 00:00:00",-108,300
7926651141,57942709,"2021/06/01 00:00:00",-105.66,2
8265414203,80720828,"2021/06/01 00:00:00",-105,100
4848204025,80720862,"2021/06/01 00:00:00",-103.5,50
7676648107,57953373,"2021/03/01 00:00:00",-103.46,48
8236495174,57942709,"2021/12/01 00:00:00",-103.12,2
8044497776,57962028,"2021/09/01 00:00:00",-102.16,80
8133570122,57938833,"2021/03/01 00:00:00",-98.58,1200
6728762930,57950028,"2021/04/01 00:00:00",-98.28,4
8209214625,80720915,"2021/06/01 00:00:00",-98,200
8267670596,80721102,"2021/06/01 00:00:00",-98,200
8015690107,57946178,"2021/07/01 00:00:00",-97.72,6
8123468536,80721050,"2021/06/01 00:00:00",-95.7,30
7740776223,57945165,"2021/12/01 00:00:00",-95.12,400
8126483902,80720936,"2021/06/01 00:00:00",-95,100
7838165920,80721202,"2021/06/01 00:00:00",-93.2,20
7561643462,57951581,"2021/06/01 00:00:00",-93,100
5199017019,80721111,"2021/06/01 00:00:00",-91.5,150
7970806147,57953960,"2021/05/01 00:00:00",-91.4,820
6987706828,57955548,"2021/04/01 00:00:00",-91.04,4
8271301027,57940828,"2021/09/01 00:00:00",-90.92,4
8263417022,80720857,"2021/06/01 00:00:00",-90,100
6988144900,57943728,"2021/03/01 00:00:00",-89.24,2
7491564423,57943738,"2021/03/01 00:00:00",-89.08,20
8220884214,80721181,"2021/06/01 00:00:00",-88,200
8038079749,80721194,"2021/06/01 00:00:00",-88,100
6090638212,57942903,"2021/10/01 00:00:00",-87.8,8
7410658342,80720987,"2021/06/01 00:00:00",-87,100
7457324802,57958564,"2021/11/01 00:00:00",-86.06,4
8225826894,57959285,"2021/03/01 00:00:00",-83.7,180
7253406759,80721087,"2021/06/01 00:00:00",-81,300
7970918479,80720834,"2021/06/01 00:00:00",-80,200
7561323911,57962181,"2021/06/01 00:00:00",-78.26,4
7741801999,57955827,"2021/02/01 00:00:00",-77.7,4
5912216235,57951859,"2021/03/01 00:00:00",-76.48,2
7994125468,57939535,"2021/06/01 00:00:00",-74.04,36
7819868235,57942389,"2021/07/01 00:00:00",-73.38,8
6087870949,57942389,"2021/09/01 00:00:00",-73.38,8
8193359058,57943045,"2021/10/01 00:00:00",-72,4
8041930154,80721187,"2021/06/01 00:00:00",-70.5,150
6662292495,57961588,"2021/12/01 00:00:00",-70.2,8
7982937774,57942709,"2021/10/01 00:00:00",-69.54,2
8144943190,57957972,"2021/03/01 00:00:00",-68.12,1000
6801059936,57961550,"2021/03/01 00:00:00",-67.26,720
8055985449,57944949,"2021/03/01 00:00:00",-66.89,80
5015729677,57951943,"2021/09/01 00:00:00",-65.74,4
7688350695,57963019,"2021/06/01 00:00:00",-64.5,150
7918962748,57959915,"2021/03/01 00:00:00",-64.3,200
7608902294,80720711,"2021/06/01 00:00:00",-64,20
7889657526,57961613,"2021/10/01 00:00:00",-60.92,36
8196854090,57959695,"2021/05/01 00:00:00",-60.88,4
2907333202,57960733,"2021/10/01 00:00:00",-60.72,2
7944140078,57959559,"2021/09/01 00:00:00",-59.76,4
7122634028,57938396,"2021/09/01 00:00:00",-57.34,200
8257613959,57949973,"2021/06/01 00:00:00",-56,100
8197047663,57961645,"2021/03/01 00:00:00",-54.6,6
8252860847,57955676,"2021/09/01 00:00:00",-53.82,166
7950388689,80721302,"2021/06/01 00:00:00",-53,100
5410836515,57960325,"2021/10/01 00:00:00",-52.78,30
7423044822,57955785,"2021/06/01 00:00:00",-51.8,8
7950407062,57951859,"2021/04/01 00:00:00",-50.48,2
7838351946,57956743,"2021/03/01 00:00:00",-50.04,44
8073862137,80721107,"2021/06/01 00:00:00",-50,200
7848335705,57939688,"2021/12/01 00:00:00",-49.3,200
8262951737,57959072,"2021/09/01 00:00:00",-46.3,20
8214825762,57945876,"2021/03/01 00:00:00",-44.92,80
7979967566,57962527,"2021/01/01 00:00:00",-44.86,48
8196249531,57943087,"2021/06/01 00:00:00",-44.02,12
7429317235,57950960,"2021/06/01 00:00:00",-43.92,40
6080602876,57940904,"2021/06/01 00:00:00",-43.84,28
7515916622,57937087,"2021/06/01 00:00:00",-42.78,4
8005315061,57959072,"2021/02/01 00:00:00",-42.44,20
6465103106,57940292,"2021/03/01 00:00:00",-41.38,24
8220616012,57952808,"2021/01/01 00:00:00",-41.19,4
3949220929,57955437,"2021/03/01 00:00:00",-41.08,2
8037835129,57940509,"2021/12/01 00:00:00",-40.84,40
8037022474,57946554,"2021/04/01 00:00:00",-40.5,4
8037583461,57939601,"2021/07/01 00:00:00",-40,2
8073332038,57944134,"2021/03/01 00:00:00",-38.86,6
8042473732,57961612,"2021/09/01 00:00:00",-37.98,8
8063288318,57945073,"2021/09/01 00:00:00",-36.84,8
6846619822,80720977,"2021/05/01 00:00:00",-36.78,8
3016108178,57943045,"2021/11/01 00:00:00",-36,6
8204755245,57943045,"2021/03/01 00:00:00",-36,2
8105116422,57943045,"2021/01/01 00:00:00",-36,2
8215838127,57963256,"2021/03/01 00:00:00",-36,170
8198187459,57943045,"2021/07/01 00:00:00",-36,2
8015583460,57950937,"2021/03/01 00:00:00",-34.76,120
7975863700,57958456,"2021/03/01 00:00:00",-34.12,8
8171907500,57956775,"2021/09/01 00:00:00",-32.42,16
8173472719,57954014,"2021/03/01 00:00:00",-30.2,200
